  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
 96	       -833.258	           0.0775194	      261.57	         -837.748	            -1678.09	            -844.717	            -1693.12	            -837.749	            -1678.09	            -1679.34	             11.1781	            -2.05936
 97	       -832.885	           0.0687758	      294.96	         -837.105	            -1675.55	             -844.33	            -1692.37	            -837.106	            -1675.55	            -1678.04	              12.702	            -1.00954
 98	       -832.425	           0.0974659	      202.26	         -837.151	            -1675.75	             -843.96	            -1691.64	            -837.152	            -1675.75	            -1678.12	              12.227	            -1.08668
 99	       -831.936	           0.0976562	      194.86	         -837.198	            -1675.94	            -843.583	            -1690.88	            -837.199	            -1675.94	            -1678.21	             11.7451	            -1.16244
100	       -831.685	            0.095057	      194.94	         -837.227	            -1676.13	            -843.248	            -1690.24	            -837.229	            -1676.13	            -1678.26	             11.3049	            -1.25955
101	       -831.384	           0.0922509	      205.81	         -837.188	            -1676.27	            -842.963	            -1689.68	            -837.191	            -1676.27	            -1678.17	             10.9141	            -1.43432
102	       -831.131	           0.0615006	      323.34	         -837.252	            -1676.46	            -842.705	            -1689.17	            -837.257	            -1676.46	            -1678.29	             10.5514	            -1.49159
103	       -830.822	           0.0840336	       235.2	         -837.237	            -1676.57	            -842.466	             -1688.7	            -837.243	            -1676.57	            -1678.25	             10.2072	            -1.61243
104	       -830.489	           0.0469484	      417.13	         -837.144	            -1676.49	            -842.228	            -1688.22	             -837.15	            -1676.49	            -1678.05	             9.86412	            -1.70963
105	       -830.239	           0.0782473	      246.13	         -837.156	            -1676.62	            -842.002	            -1687.77	            -837.164	            -1676.63	            -1678.07	             9.53303	             -1.8222
106	       -830.021	           0.0822368	      232.56	         -837.189	            -1676.79	            -841.793	            -1687.36	            -837.199	            -1676.79	            -1678.12	             9.21866	            -1.92619
107	       -829.759	           0.0408831	      487.35	         -837.187	            -1676.92	              -841.6	            -1686.97	              -837.2	            -1676.93	            -1678.11	             8.92066	            -2.07546
108	       -829.534	           0.0535906	      363.13	         -837.233	            -1677.09	            -841.419	            -1686.61	            -837.248	             -1677.1	            -1678.19	             8.63396	             -2.1682
